feature,importance
is_monthly_contract,0.1540409119457453
has_online_security,0.12800357666163656
monthly_charges,0.12238825582265292
avg_monthly_spend,0.11153243335900412
tenure,0.09528823248080766
total_charges,0.08652427696700409
has_tech_support,0.07103509052855024
is_yearly_contract,0.05230779889330559
payment_electronic_check,0.046020542536896955
is_two_year_contract,0.03518631028681319
is_high_spender,0.019854189259874297
paperless_billing,0.017476588903191613
has_fiber,0.01321271828023353
payment_credit_card,0.01312319667653301
payment_bank_transfer,0.012463047210768132
has_streaming,0.012166946618958422
is_new_customer,0.009375883568024419
